"coordinates","latitude","longitude"
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.455353, 3.9456644",50.455353,3.9456644
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.4549568, 3.951958",50.4549568,3.951958
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.4586742, 3.9557682",50.4586742,3.9557682
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4563201, 3.954078173170731",50.4563201,3.95407817317073
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
,,
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4556793, 3.9596130943812557",50.4556793,3.95961309438126
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4556793, 3.9596130943812557",50.4556793,3.95961309438126
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.4486881, 3.951858360804411",50.4486881,3.95185836080441
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.4556793, 3.9596130943812557",50.4556793,3.95961309438126
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4557663, 3.9523165",50.4557663,3.9523165
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.4530903, 3.9530323",50.4530903,3.9530323
"50.4556793, 3.9596130943812557",50.4556793,3.95961309438126
"50.4556793, 3.9596130943812557",50.4556793,3.95961309438126
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4586742, 3.9557682",50.4586742,3.9557682
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.4556793, 3.9596130943812557",50.4556793,3.95961309438126
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4586742, 3.9557682",50.4586742,3.9557682
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.4530903, 3.9530323",50.4530903,3.9530323
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.4530426, 3.9483412",50.4530426,3.9483412
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4530903, 3.9530323",50.4530903,3.9530323
"50.4486881, 3.951858360804411",50.4486881,3.95185836080441
"50.4576156, 3.9555819",50.4576156,3.9555819
"50.4556793, 3.9596130943812557",50.4556793,3.95961309438126
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4528003, 3.9602154",50.4528003,3.9602154
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.4556793, 3.9596130943812557",50.4556793,3.95961309438126
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.45787595, 3.9570344299444615",50.45787595,3.95703442994446
"50.4549568, 3.951958",50.4549568,3.951958
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.459344099999996, 3.956463209020347",50.4593441,3.95646320902035
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
"50.4551243, 3.9528853",50.4551243,3.9528853
